유입지역명,유출지역명,유입유출 비율,유입/유출 구분 코드 (1:유입 / 2:유출)
전라북도 전주시 덕진구 , 전라북도 전주시 완산구,57.2,1
전라북도 완주군 , 전라북도 전주시 완산구,10.4,1
전라북도 익산시 , 전라북도 전주시 완산구,5.2,1
전라북도 김제시 , 전라북도 전주시 완산구,4.8,1
전라북도 군산시 , 전라북도 전주시 완산구,2.6,1
전라북도 정읍시 , 전라북도 전주시 완산구,1.9,1
전라북도 임실군 , 전라북도 전주시 완산구,1.9,1
충청남도 공주시 , 전라북도 전주시 완산구,1.3,1
충청남도 논산시 , 전라북도 전주시 완산구,1.0,1
전라북도 진안군 , 전라북도 전주시 완산구,0.8,1
전라북도 남원시 , 전라북도 전주시 완산구,0.8,1
전라북도 부안군 , 전라북도 전주시 완산구,0.6,1
대전광역시 유성구 , 전라북도 전주시 완산구,0.6,1
광주광역시 광산구 , 전라북도 전주시 완산구,0.4,1
광주광역시 북구 , 전라북도 전주시 완산구,0.4,1
전라북도 순창군 , 전라북도 전주시 완산구,0.3,1
대전광역시 서구 , 전라북도 전주시 완산구,0.3,1
전라북도 고창군 , 전라북도 전주시 완산구,0.3,1
전라남도 순천시 , 전라북도 전주시 완산구,0.3,1
광주광역시 서구 , 전라북도 전주시 완산구,0.3,1
 전라북도 전주시 완산구,전라북도 전주시 덕진구,58.4,2
 전라북도 전주시 완산구,전라북도 완주군,11.4,2
 전라북도 전주시 완산구,전라북도 김제시,5.6,2
 전라북도 전주시 완산구,전라북도 군산시,3.7,2
 전라북도 전주시 완산구,전라북도 익산시,3.7,2
 전라북도 전주시 완산구,전라북도 임실군,1.8,2
 전라북도 전주시 완산구,전라북도 부안군,1.5,2
 전라북도 전주시 완산구,전라북도 정읍시,1.5,2
 전라북도 전주시 완산구,전라북도 남원시,0.9,2
 전라북도 전주시 완산구,전라북도 고창군,0.8,2
 전라북도 전주시 완산구,전라남도 여수시,0.8,2
 전라북도 전주시 완산구,대전광역시 유성구,0.7,2
 전라북도 전주시 완산구,전라남도 담양군,0.6,2
 전라북도 전주시 완산구,전라북도 진안군,0.5,2
 전라북도 전주시 완산구,전라북도 순창군,0.5,2
 전라북도 전주시 완산구,충청남도 부여군,0.4,2
 전라북도 전주시 완산구,충청남도 보령시,0.4,2
 전라북도 전주시 완산구,충청남도 논산시,0.4,2
 전라북도 전주시 완산구,광주광역시 서구,0.3,2
 전라북도 전주시 완산구,광주광역시 광산구,0.3,2
